nn.dist,group,category
141.57022391732,C3-on-C4,ODD-on-EVEN
145.20270624199816,C3-on-C4,ODD-on-EVEN
145.21322012819618,C3-on-C4,ODD-on-EVEN
148.28858250047418,C3-on-C4,ODD-on-EVEN
116.2178114576253,C3-on-C4,ODD-on-EVEN
163.6680995185074,C3-on-C4,ODD-on-EVEN
151.42377422320484,C3-on-C4,ODD-on-EVEN
158.19038845644187,C3-on-C4,ODD-on-EVEN
149.40039256976414,C3-on-C4,ODD-on-EVEN
144.54373040709874,C3-on-C4,ODD-on-EVEN
164.27448645483537,C3-on-C4,ODD-on-EVEN
161.40821602384432,C3-on-C4,ODD-on-EVEN
133.62188780285973,C3-on-C4,ODD-on-EVEN
159.6584870904133,C3-on-C4,ODD-on-EVEN
146.62604986836428,C3-on-C4,ODD-on-EVEN
147.6484127920102,C3-on-C4,ODD-on-EVEN
147.0599877600966,C3-on-C4,ODD-on-EVEN
145.09027879220642,C3-on-C4,ODD-on-EVEN
99.7705492617943,C3-on-C4,ODD-on-EVEN
102.5556731731605,C3-on-C4,ODD-on-EVEN
186.44690665173312,C3-on-C4,ODD-on-EVEN
136.84492573712828,C3-on-C4,ODD-on-EVEN
615.2339863824164,C3-on-C4,ODD-on-EVEN
142.32172321890957,C3-on-C4,ODD-on-EVEN
139.20073994056187,C3-on-C4,ODD-on-EVEN
107.18638812834345,C3-on-C4,ODD-on-EVEN
124.25017585500571,C3-on-C4,ODD-on-EVEN
116.39058939622088,C3-on-C4,ODD-on-EVEN
156.60116378877933,C3-on-C4,ODD-on-EVEN
115.21540782377991,C3-on-C4,ODD-on-EVEN
145.1636132093712,C3-on-C4,ODD-on-EVEN
157.13950903576105,C3-on-C4,ODD-on-EVEN
129.46263206037582,C3-on-C4,ODD-on-EVEN
138.5556227657334,C3-on-C4,ODD-on-EVEN
112.12136147942594,C3-on-C4,ODD-on-EVEN
148.87000537381627,C3-on-C4,ODD-on-EVEN
114.15956201737986,C3-on-C4,ODD-on-EVEN
174.13676579057082,C3-on-C4,ODD-on-EVEN
134.58046997986085,C3-on-C4,ODD-on-EVEN
112.22829812484947,C3-on-C4,ODD-on-EVEN
171.8562855993341,C3-on-C4,ODD-on-EVEN
148.18000742340408,C3-on-C4,ODD-on-EVEN
130.00916621530942,C3-on-C4,ODD-on-EVEN
168.27260799072423,C3-on-C4,ODD-on-EVEN
117.4656834994808,C3-on-C4,ODD-on-EVEN
125.75493986321217,C3-on-C4,ODD-on-EVEN
136.4885101391316,C3-on-C4,ODD-on-EVEN
121.33841848318296,C3-on-C4,ODD-on-EVEN
142.10644777771296,C3-on-C4,ODD-on-EVEN
182.87623273678693,C3-on-C4,ODD-on-EVEN
170.9904801443635,C3-on-C4,ODD-on-EVEN
146.8136018902882,C3-on-C4,ODD-on-EVEN
146.15325175992442,C3-on-C4,ODD-on-EVEN
149.24305712494674,C3-on-C4,ODD-on-EVEN
115.25233576808789,C3-on-C4,ODD-on-EVEN
112.28669778740526,C3-on-C4,ODD-on-EVEN
145.83264106502372,C3-on-C4,ODD-on-EVEN
162.34976840143634,C3-on-C4,ODD-on-EVEN
171.08908615104573,C3-on-C4,ODD-on-EVEN
127.64483890858992,C3-on-C4,ODD-on-EVEN
144.81368512678512,C3-on-C4,ODD-on-EVEN
125.99293035722287,C3-on-C4,ODD-on-EVEN
88.8725092477974,C3-on-C4,ODD-on-EVEN
109.58645217361526,C3-on-C4,ODD-on-EVEN
143.33618698709677,C3-on-C4,ODD-on-EVEN
803.4627122648574,C3-on-C4,ODD-on-EVEN
155.54135848705982,C3-on-C4,ODD-on-EVEN
150.87978989911207,C3-on-C4,ODD-on-EVEN
128.80935408579683,C3-on-C4,ODD-on-EVEN
127.3621945476759,C3-on-C4,ODD-on-EVEN
127.5645224974406,C3-on-C4,ODD-on-EVEN
128.37028082854704,C3-on-C4,ODD-on-EVEN
149.77674185266517,C3-on-C4,ODD-on-EVEN
166.61488078800127,C3-on-C4,ODD-on-EVEN
175.10905459170323,C3-on-C4,ODD-on-EVEN
142.6969835000037,C3-on-C4,ODD-on-EVEN
138.56113163510193,C3-on-C4,ODD-on-EVEN
123.22392868270369,C3-on-C4,ODD-on-EVEN
110.45765206630125,C3-on-C4,ODD-on-EVEN
153.93233935726468,C3-on-C4,ODD-on-EVEN
149.65687154287266,C3-on-C4,ODD-on-EVEN
169.57564388791232,C3-on-C4,ODD-on-EVEN
964.8153807853602,C3-on-C4,ODD-on-EVEN
152.56507201846705,C3-on-C4,ODD-on-EVEN
294.1102998876431,C3-on-C4,ODD-on-EVEN
138.32435251972095,C3-on-C4,ODD-on-EVEN
153.19234347708016,C3-on-C4,ODD-on-EVEN
114.50565051559681,C3-on-C4,ODD-on-EVEN
100.61227360516176,C3-on-C4,ODD-on-EVEN
131.34500066618412,C3-on-C4,ODD-on-EVEN
831.104353796802,C3-on-C4,ODD-on-EVEN
133.9047605576439,C3-on-C4,ODD-on-EVEN
131.51374300809707,C3-on-C4,ODD-on-EVEN
104.91264604422143,C3-on-C4,ODD-on-EVEN
117.87628811597303,C3-on-C4,ODD-on-EVEN
119.75882848458362,C3-on-C4,ODD-on-EVEN
114.24055059391179,C3-on-C4,ODD-on-EVEN
131.71733105404277,C3-on-C4,ODD-on-EVEN
123.04964656999172,C4-on-C3,EVEN-on-ODD
142.2183201982073,C4-on-C3,EVEN-on-ODD
148.52422731662298,C4-on-C3,EVEN-on-ODD
131.9343401090099,C4-on-C3,EVEN-on-ODD
137.54027991828437,C4-on-C3,EVEN-on-ODD
162.19559705491386,C4-on-C3,EVEN-on-ODD
126.88326958271472,C4-on-C3,EVEN-on-ODD
157.4692185793792,C4-on-C3,EVEN-on-ODD
143.73290367901174,C4-on-C3,EVEN-on-ODD
148.28488594593884,C4-on-C3,EVEN-on-ODD
118.71548045642609,C4-on-C3,EVEN-on-ODD
111.48751409911408,C4-on-C3,EVEN-on-ODD
133.80702709499192,C4-on-C3,EVEN-on-ODD
170.76693678812615,C4-on-C3,EVEN-on-ODD
136.40646722204932,C4-on-C3,EVEN-on-ODD
140.04092651792823,C4-on-C3,EVEN-on-ODD
175.1332524108433,C4-on-C3,EVEN-on-ODD
163.91254192403952,C4-on-C3,EVEN-on-ODD
288.9709668807577,C4-on-C3,EVEN-on-ODD
171.31145087238033,C4-on-C3,EVEN-on-ODD
132.08128595679293,C4-on-C3,EVEN-on-ODD
207.7161315353243,C4-on-C3,EVEN-on-ODD
130.00371879296372,C4-on-C3,EVEN-on-ODD
154.41776096032442,C4-on-C3,EVEN-on-ODD
122.52106594378041,C4-on-C3,EVEN-on-ODD
152.11521587270565,C4-on-C3,EVEN-on-ODD
155.60721480702622,C4-on-C3,EVEN-on-ODD
122.56863057079421,C4-on-C3,EVEN-on-ODD
123.21286824029332,C4-on-C3,EVEN-on-ODD
128.70573608040982,C4-on-C3,EVEN-on-ODD
155.67437329245857,C4-on-C3,EVEN-on-ODD
160.30624722698772,C4-on-C3,EVEN-on-ODD
147.30189408150835,C4-on-C3,EVEN-on-ODD
186.6074690247954,C4-on-C3,EVEN-on-ODD
140.3284739459545,C4-on-C3,EVEN-on-ODD
643.5047401534816,C4-on-C3,EVEN-on-ODD
158.36574629635027,C4-on-C3,EVEN-on-ODD
