Label,channel,time,condition,total_vRNAs_smFISH,total_vRNAs_intensity
CoV-FISH-01C_R1_10h_INF_00005_cleared__results_cell_15.npz,gRNA,10,Untreated,147,121.611658
CoV-FISH-01C_R1_10h_INF_00005_cleared__results_cell_17.npz,gRNA,10,Untreated,147,168.7591871
CoV-FISH-01C_R1_10h_INF_00019_cleared__results_cell_4.npz,gRNA,10,Untreated,147,138.6996627
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_31.npz,gRNA,10,Untreated,146,120.5668941
CoV-FISH-01C_R1_10h_INF_00003_cleared__results_cell_23.npz,gRNA,10,Untreated,146,175.4710494
CoV-FISH-01C_R1_10h_INF_00013_cleared__results_cell_10.npz,gRNA,10,Untreated,146,189.7443077
CoV-FISH-01C_R1_10h_INF_00011_cleared__results_cell_17.npz,gRNA,10,Untreated,145,121.7428623
CoV-FISH-01C_R1_10h_INF_00009_cleared__results_cell_2.npz,gRNA,10,Untreated,144,111.8843468
CoV-FISH-01C_R1_10h_INF_00016_cleared__results_cell_4.npz,gRNA,10,Untreated,144,147.5929484
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_30.npz,gRNA,10,Untreated,143,109.8724281
CoV-FISH-01C_R1_10h_INF_00011_cleared__results_cell_16.npz,gRNA,10,Untreated,143,129.4944943
CoV-FISH-01C_R1_10h_INF_00005_cleared__results_cell_8.npz,gRNA,10,Untreated,140,97.03519764
CoV-FISH-01C_R1_10h_INF_00007_cleared__results_cell_9.npz,gRNA,10,Untreated,139,156.498852
CoV-FISH-01C_R1_10h_INF_00018_cleared__results_cell_23.npz,gRNA,10,Untreated,139,98.79093221
CoV-FISH-01C_R1_10h_INF_00020_cleared__results_cell_5.npz,gRNA,10,Untreated,139,135.6250808
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_24.npz,gRNA,10,Untreated,138,91.11317644
CoV-FISH-01C_R1_10h_INF_00005_cleared__results_cell_20.npz,gRNA,10,Untreated,137,157.1152986
CoV-FISH-01C_R1_10h_INF_00009_cleared__results_cell_16.npz,gRNA,10,Untreated,137,175.0847276
CoV-FISH-01C_R1_10h_INF_00017_cleared__results_cell_27.npz,gRNA,10,Untreated,137,138.9464638
CoV-FISH-01C_R1_10h_INF_00020_cleared__results_cell_17.npz,gRNA,10,Untreated,137,140.3137498
CoV-FISH-01C_R1_10h_INF_00007_cleared__results_cell_4.npz,gRNA,10,Untreated,136,116.1525424
CoV-FISH-01C_R1_10h_INF_00008_cleared__results_cell_17.npz,gRNA,10,Untreated,136,167.7760477
CoV-FISH-01C_R1_10h_INF_00008_cleared__results_cell_7.npz,gRNA,10,Untreated,136,136.2799986
CoV-FISH-01C_R1_10h_INF_00013_cleared__results_cell_8.npz,gRNA,10,Untreated,135,120.1322425
CoV-FISH-01C_R1_10h_INF_00017_cleared__results_cell_0.npz,gRNA,10,Untreated,135,128.227605
CoV-FISH-01C_R1_10h_INF_00010_cleared__results_cell_29.npz,gRNA,10,Untreated,134,108.9274697
CoV-FISH-01C_R1_10h_INF_00012_cleared__results_cell_6.npz,gRNA,10,Untreated,133,102.1893801
CoV-FISH-01C_R1_10h_INF_00006_cleared__results_cell_17.npz,gRNA,10,Untreated,132,112.0800645
CoV-FISH-01C_R1_10h_INF_00010_cleared__results_cell_3.npz,gRNA,10,Untreated,132,125.0509591
CoV-FISH-01C_R1_10h_INF_00001_cleared__results_cell_3.npz,gRNA,10,Untreated,130,169.1947261
CoV-FISH-01C_R1_10h_INF_00012_cleared__results_cell_12.npz,gRNA,10,Untreated,130,171.4594511
CoV-FISH-01C_R1_10h_INF_00016_cleared__results_cell_16.npz,gRNA,10,Untreated,130,125.4233534
