cell_id,Area,Channel,IntDen,RawIntDen,time,condition,repeat_exp,mock_bg_den,sub_RawIntDen,sm_mean_int,RNA_count
CoV-FISH-06B_R1_26h_INF_00005_7,436.519,ORFN,1003708.143,86289927,26,Untreated,R1,10672.78214146053,81631054.81239179,5174.7692307692305,1356179.1880263786
CoV-FISH-06B_R1_26h_INF_00005_13,441.032,ORFN,1433668.822,123254134,26,Untreated,R1,10672.78214146053,118547095.54658738,5174.7692307692305,1969484.58096919
CoV-FISH-06B_R1_26h_INF_00005_15,588.698,ORFN,10360622.75,890714484,26,Untreated,R1,10672.78214146053,884431438.4988865,5174.7692307692305,14693519.6768564
CoV-FISH-06B_R1_26h_INF_00005_17,944.992,ORFN,11783700.191,1013058065,26,Untreated,R1,10672.78214146053,1002972371.258577,5174.7692307692305,16662901.87224024
CoV-FISH-06B_R1_26h_INF_00005_19,348.233,ORFN,286293.235,24612954,26,Untreated,R1,10672.78214146053,20896339.056532774,5174.7692307692305,347161.7535696791
CoV-FISH-06B_R1_26h_INF_00005_21,276.953,ORFN,1962965.564,168758375,26,Untreated,R1,10672.78214146053,165802515.9675761,5174.7692307692305,2754563.4684547046
CoV-FISH-06B_R1_26h_INF_00005_23,483.36,ORFN,1968441.099,169229113,26,Untreated,R1,10672.78214146053,164070317.02410364,5174.7692307692305,2725785.546105697
CoV-FISH-06B_R1_26h_INF_00006_5,842.225,gRNA,725022.578,62331013,26,Untreated,R1,13147.530461466115,51257834.1570917,4750.538461538462,927619.9220573509
CoV-FISH-06B_R1_26h_INF_00006_7,900.581,gRNA,195338.717,16793491,26,Untreated,R1,13147.530461466115,4953074.869482385,4750.538461538462,89636.46240479706
CoV-FISH-06B_R1_26h_INF_00006_9,508.473,gRNA,94390.206,8114833,26,Untreated,R1,13147.530461466115,1429668.7436669404,4750.538461538462,25872.907632104372
CoV-FISH-06B_R1_26h_INF_00006_11,1410.45,gRNA,1029143.739,88476654,26,Untreated,R1,13147.530461466115,69932719.66062512,4750.538461538462,1265581.8379300856
CoV-FISH-06B_R1_26h_INF_00006_13,311,gRNA,1861228.683,160011940,26,Untreated,R1,13147.530461466115,155923058.02648404,4750.538461538462,2821760.562301477
CoV-FISH-06B_R1_26h_INF_00006_15,385.083,gRNA,1179566.357,101408657,26,Untreated,R1,13147.530461466115,96345766.52730724,4750.538461538462,1743582.3012481206
CoV-FISH-06B_R1_26h_INF_00006_17,1489.802,gRNA,10447160.041,898154193,26,Untreated,R1,13147.530461466115,878566975.8234469,4750.538461538462,15899544.782516984
CoV-FISH-06B_R1_26h_INF_00006_19,595.235,gRNA,335217.238,28819006,26,Untreated,R1,13147.530461466115,20993135.70576922,4750.538461538462,379915.60172916093
CoV-FISH-06B_R1_26h_INF_00006_21,1528.967,gRNA,392749.689,33765136,26,Untreated,R1,13147.530461466115,13662995.79292354,4750.538461538462,247261.073373857
CoV-FISH-06B_R1_26h_INF_00006_2,1430.154,ORFN,249080.023,21413692,26,Untreated,R1,10672.78214146053,6149969.929261658,5174.7692307692305,102172.65039905647
CoV-FISH-06B_R1_26h_INF_00006_4,1095.251,ORFN,704462.654,60563453,26,Untreated,R1,10672.78214146053,48874077.68678321,5174.7692307692305,811970.4828650339
CoV-FISH-06B_R1_26h_INF_00006_6,1118.841,ORFN,196025.146,16852504,26,Untreated,R1,10672.78214146053,4911357.75606616,5174.7692307692305,81594.94188868126
CoV-FISH-06B_R1_26h_INF_00006_8,1321.49,ORFN,1601231.356,137659675,26,Untreated,R1,10672.78214146053,123555700.12788132,5174.7692307692305,2052695.1349650363
CoV-FISH-06B_R1_26h_INF_00006_10,682.38,ORFN,148957.568,12806051,26,Untreated,R1,10672.78214146053,5523157.922310164,5174.7692307692305,91759.09638353712
CoV-FISH-06B_R1_26h_INF_00006_12,668.829,ORFN,2718619.528,233722803,26,Untreated,R1,10672.78214146053,226584536.7931091,5174.7692307692305,3764366.8066477636
CoV-FISH-06B_R1_26h_INF_00006_14,993.52,ORFN,1939114.768,166707895,26,Untreated,R1,10672.78214146053,156104272.48681614,5174.7692307692305,2593441.503300059
CoV-FISH-06B_R1_26h_INF_00006_16,851.425,ORFN,6158225.593,529429636,26,Untreated,R1,10672.78214146053,520342562.465207,5174.7692307692305,8644721.73588165
CoV-FISH-06B_R1_26h_INF_00006_18,337.474,ORFN,4877607.981,419333488,26,Untreated,R1,10672.78214146053,415731701.51959276,5174.7692307692305,6906767.071666934
CoV-FISH-06B_R1_26h_INF_00006_20,667.678,ORFN,9938946.003,854462456,26,Untreated,R1,10672.78214146053,847336474.1653539,5174.7692307692305,14077241.733059932
CoV-FISH-06B_R1_26h_INF_00006_22,717.194,ORFN,146732.67,12614774,26,Untreated,R1,10672.78214146053,4960318.684837357,5174.7692307692305,82408.35527380218
CoV-FISH-06B_R1_26h_INF_00007_3,965.103,gRNA,709743.159,61017424,26,Untreated,R1,13147.530461466115,48328702.90904767,4750.538461538462,874611.0397140372
CoV-FISH-06B_R1_26h_INF_00007_5,259.296,gRNA,1519537.516,130636363,26,Untreated,R1,13147.530461466115,127227260.94146368,4750.538461538462,2302448.861112531
CoV-FISH-06B_R1_26h_INF_00007_9,1033.277,gRNA,1115983.829,95942395,26,Untreated,R1,13147.530461466115,82357354.16736768,4750.538461538462,1490432.120472526
CoV-FISH-06B_R1_26h_INF_00007_11,531.376,gRNA,4680721.383,402406924,26,Untreated,R1,13147.530461466115,395420641.853508,4750.538461538462,7155980.563905092
CoV-FISH-06B_R1_26h_INF_00007_13,1121.621,gRNA,190084.256,16341759,26,Untreated,R1,13147.530461466115,1595212.7362799142,4750.538461538462,28868.779542222204
CoV-FISH-06B_R1_26h_INF_00007_15,467.727,gRNA,76076.722,6540402,26,Untreated,R1,13147.530461466115,390947.0198498387,4750.538461538462,7075.020824528675
CoV-FISH-06B_R1_26h_INF_00007_17,341.324,gRNA,120963.974,10399410,26,Untreated,R1,13147.530461466115,5911842.31277054,4750.538461538462,106987.40583889525
CoV-FISH-06B_R1_26h_INF_00007_1,418.315,ORFN,52224.076,4489763,26,Untreated,R1,10672.78214146053,25178.138494938612,5174.7692307692305,418.29751555406955
CoV-FISH-06B_R1_26h_INF_00007_3,965.103,ORFN,1827560.196,157117422,26,Untreated,R1,10672.78214146053,146817087.93693003,5174.7692307692305,2439148.674046998
CoV-FISH-06B_R1_26h_INF_00007_5,259.296,ORFN,7563046.046,650203643,26,Untreated,R1,10672.78214146053,647436233.2818478,5174.7692307692305,10756195.018782793
