cell_id,Area,Channel,IntDen,RawIntDen,time,condition,repeat_exp,mock_bg_den,sub_RawIntDen,sm_mean_int,RNA_count,ImgeJ_cal_factor
CoV-FISH-06B_R1_24h_INF_00002_17,498.993,gRNA,93653.796,8051523,24,Untreated,R1,14383.340982982052,874336.5328788366,5186.933333333333,5899.78252739434,35
CoV-FISH-06B_R1_24h_INF_00002_19,338.009,gRNA,163445.664,14051609,24,Untreated,R1,14383.340982982052,9189910.29768322,5186.933333333333,62010.9879477108,35
CoV-FISH-06B_R1_24h_INF_00002_21,463.528,gRNA,90797.337,7805950,24,Untreated,R1,14383.340982982052,1138868.7208402948,5186.933333333333,7684.772999346496,35
CoV-FISH-06B_R1_24h_INF_00002_23,710.029,gRNA,313830.42,26980357,24,Untreated,R1,14383.340982982052,16767767.785194237,5186.933333333333,113144.28676195278,35
CoV-FISH-06B_R1_24h_INF_00002_25,1349.441,gRNA,1818872.652,156370544,24,Untreated,R1,14383.340982982052,136961073.96058372,5186.933333333333,924175.6700080516,35
CoV-FISH-06B_R1_24h_INF_00002_27,709.471,gRNA,121949.514,10484138,24,Untreated,R1,14383.340982982052,279574.68946274,5186.933333333333,1886.49313618758,35
CoV-FISH-06B_R1_24h_INF_00002_29,177.385,gRNA,200223.473,17213439,24,Untreated,R1,14383.340982982052,14662050.05973373,5186.933333333333,98935.4825119558,35
CoV-FISH-06B_R1_24h_INF_00002_31,642.32,gRNA,131580.933,11312162,24,Untreated,R1,14383.340982982052,2073454.4198109675,5186.933333333333,13991.10033418279,35
CoV-FISH-06B_R1_24h_INF_00002_33,950.726,gRNA,612468.938,52654649,24,Untreated,R1,14383.340982982052,38980032.76061341,5186.933333333333,263026.5436137222,35
CoV-FISH-06B_R1_24h_INF_00002_35,209.245,gRNA,534246.287,45929759,24,Untreated,R1,14383.340982982052,42920116.81601592,5186.933333333333,289613.1475040918,35
CoV-FISH-06B_R1_24h_INF_00002_37,1190.981,gRNA,880377.747,75687073,24,Untreated,R1,14383.340982982052,58556787.17274705,5186.933333333333,395125.0998109635,35
