File,ID,time,strain,condition,repeat_exp,total_vRNAs_ORFN,total_vRNAs_gRNA,cytosolic_RNAs_ORFN,cytosolic_RNAs_gRNA,repSites_ORFN,repSites_gRNA,mol_per_repSite_ORFN,mol_per_repSite_gRNA,content,category,total_vRNAs_sgRNA,ratio
CoV-FISH-10_Vero_6h_Vic_INF_R3_00006__results_cell_2.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,192,174.3510357839115,192,160,0,2,NA,7.175517891955747,14.351035783911493,Mid,17.6489642160885,0.10122660950498974
CoV-FISH-10_Vero_6h_Vic_INF_R3_00006__results_cell_5.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,580,110.86038937820183,578,103,1,1,2,7.860389378201834,7.860389378201834,Mid,469.13961062179817,4.231805546175033
CoV-FISH-10_Vero_6h_Vic_INF_R3_00011__results_cell_1.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,99,70.53368359946634,99,63.00000000000001,0,1,NA,7.533683599466338,7.533683599466338,Low,28.466316400533657,0.4035847122657441
CoV-FISH-10_Vero_6h_Vic_INF_R3_00011__results_cell_2.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,143.69316005638717,143.69316005638717,143.69316005638717,136,0,1,NA,7.693160056387183,7.693160056387183,Mid,0,0
CoV-FISH-10_Vero_6h_Vic_INF_R3_00013__results_cell_0.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,753,126.64715142115891,736,119,8,1,2.125,7.647151421158911,7.647151421158911,Mid,626.3528485788411,4.945652875333416
CoV-FISH-10_Vero_6h_Vic_INF_R3_00014__results_cell_1.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,867,250.74044653657822,835,236,13,2,2.4615384615384617,7.370223268289103,14.740446536578206,Mid,616.2595534634218,2.4577588577179204
CoV-FISH-10_Vero_6h_Vic_INF_R3_00014__results_cell_2.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,1573,493.8995318513627,1548,480,12,2,2.0833333333333335,6.94976592568137,13.89953185136274,Mid,1079.1004681486372,2.184858252656511
CoV-FISH-10_Vero_6h_Vic_INF_R1_00029__results_cell_3.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,641,143.57128347275676,578,112,18,4,3.5,7.8928208681891885,31.571283472756754,Mid,497.42871652724324,3.464681129089665
CoV-FISH-10_Vero_6h_Vic_INF_R1_00007__results_cell_2.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,1067,126.33796753653479,977,103,33,4,2.727272727272727,5.834491884133698,23.33796753653479,Mid,940.6620324634653,7.445600485787788
CoV-FISH-10_Vero_6h_Vic_INF_R1_00007__results_cell_5.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,288,89.39367360018502,247,66,16,3,2.5625,7.797891200061675,23.393673600185025,Low,198.60632639981498,2.221704494303318
CoV-FISH-10_Vero_6h_Vic_INF_R1_00011__results_cell_1.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,724,167.2670460243536,647,145,32,3,2.40625,7.422348674784527,22.267046024353583,Mid,556.7329539756464,3.328407879544831
CoV-FISH-10_Vero_6h_Vic_INF_R1_00025__results_cell_1.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,833,162.64134953167067,736,125,26,5,3.730769230769231,7.528269906334136,37.64134953167068,Mid,670.3586504683293,4.12169877093766
CoV-FISH-10_Vero_6h_Vic_INF_R1_00002__results_cell_0.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,553,146.02489717585377,509,121.99999999999999,18,3,2.4444444444444446,8.008299058617927,24.02489717585378,Mid,406.97510282414623,2.787025436724241
CoV-FISH-10_Vero_6h_Vic_INF_R1_00003__results_cell_3.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,669,153.88521470550296,621,130,17,3,2.823529411764706,7.9617382351676556,23.885214705502968,Mid,515.1147852944971,3.347396215291348
CoV-FISH-10_Vero_6h_Vic_INF_R1_00027__results_cell_1.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,966,172.68196736682586,845,135,33,5,3.6666666666666665,7.536393473365174,37.68196736682587,Mid,793.3180326331742,4.594098878593037
CoV-FISH-10_Vero_6h_Vic_INF_R1_00023__results_cell_1.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,158,63.1663155750669,141,40,7,3,2.4285714285714284,7.722105191688968,23.166315575066903,Low,94.8336844249331,1.5013331640695848
CoV-FISH-10_Vero_6h_Vic_INF_R1_00025__results_cell_5.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,125,59.976176513774575,102,35,9,3,2.5555555555555554,8.32539217125819,24.976176513774572,Low,65.02382348622542,1.084160866294829
CoV-FISH-10_Vero_6h_Vic_INF_R2_00004__results_cell_4.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R2,2379,547.1147660991766,2291,460,40,12,2.2,7.259563841598049,87.11476609917659,Mid,1831.8852339008236,3.3482650211797687
CoV-FISH-10_Vero_6h_Vic_INF_R1_00015__results_cell_5.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,1002,206.3728435367464,924,168,27,5,2.888888888888889,7.674568707349279,38.372843536746394,Mid,795.6271564632536,3.8552899830620673
CoV-FISH-10_Vero_6h_Vic_INF_R1_00016__results_cell_1.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,466,131.54823639820626,416,96,19,5,2.6315789473684212,7.10964727964125,35.54823639820625,Mid,334.45176360179374,2.54242681436932
CoV-FISH-10_Vero_6h_Vic_INF_R1_00014__results_cell_1.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,1042,226.00471700000352,934,184,40,6,2.7,7.000786166667254,42.004717000003524,Mid,815.9952829999964,3.610523239654258
CoV-FISH-10_Vero_6h_Vic_INF_R2_00003__results_cell_6.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R2,2074,471.60393465170245,2043,441,13,4,2.3846153846153846,7.650983662925611,30.603934651702446,Mid,1602.3960653482975,3.397758049944448
CoV-FISH-10_Vero_6h_Vic_INF_R3_00007__results_cell_2.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,358,219.4815104692236,358,197,0,3,NA,7.493836823074533,22.4815104692236,Mid,138.5184895307764,0.6311168956083885
CoV-FISH-10_Vero_6h_Vic_INF_R1_00018__results_cell_9.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,260,63.91583607670537,240,47,9,2,2.2222222222222223,8.457918038352684,16.915836076705368,Low,196.08416392329462,3.0678494714201046
CoV-FISH-10_Vero_6h_Vic_INF_R1_00025__results_cell_6.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,2202,107.09528311619793,2086,85,50,3,2.32,7.365094372065978,22.095283116197933,Mid,2094.904716883802,19.56112964014334
CoV-FISH-10_Vero_6h_Vic_INF_R1_00026__results_cell_4.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,209,70.25398535101972,179,51,9,3,3.3333333333333335,6.417995117006574,19.253985351019722,Low,138.7460146489803,1.9749201978470596
CoV-FISH-10_Vero_6h_Vic_INF_R3_00014__results_cell_0.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,2453,678.830674554143,2347,512,52,21,2.0384615384615383,7.944317835911571,166.830674554143,Mid,1774.1693254458569,2.6135668171022677
CoV-FISH-10_Vero_6h_Vic_INF_R2_00010__results_cell_5.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R2,3581,491.13288730929185,3162,373,174,15,2.4080459770114944,7.875525820619457,118.13288730929186,Mid,3089.8671126907084,6.291305657861309
CoV-FISH-10_Vero_6h_Vic_INF_R3_00002__results_cell_5.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,3595,1103.987118209158,3574,983,10,15,2.1,8.06580788061054,120.98711820915811,Mid,2491.0128817908417,2.256378576075832
CoV-FISH-10_Vero_6h_Vic_INF_R1_00028__results_cell_0.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,551,146.22724426667153,499,112,22,4,2.3636363636363638,8.556811066667883,34.22724426667153,Mid,404.7727557333285,2.7681076653209233
CoV-FISH-10_Vero_6h_Vic_INF_R1_00029__results_cell_4.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,1926,451.6167017390187,1703,362,75,13,2.973333333333333,6.893592441462977,89.61670173901871,Mid,1474.3832982609813,3.2646784155316766
CoV-FISH-10_Vero_6h_Vic_INF_R2_00001__results_cell_0.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R2,213.13061178411238,213.13061178411238,213.13061178411238,180,0,5,NA,6.626122356822473,33.13061178411237,Mid,0,0
CoV-FISH-10_Vero_6h_Vic_INF_R1_00004__results_cell_0.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,528,138.66315875102123,472,114.00000000000001,21,3,2.6666666666666665,8.221052917007071,24.663158751021214,Mid,389.33684124897877,2.807788635105728
CoV-FISH-10_Vero_6h_Vic_INF_R1_00004__results_cell_1.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,348,80.67012902884238,300,62.99999999999999,15,3,3.2,5.890043009614129,17.67012902884239,Low,267.3298709711576,3.313864427755878
CoV-FISH-10_Vero_6h_Vic_INF_R1_00008__results_cell_0.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,315,71.57944108066334,278,56,16,2,2.3125,7.789720540331674,15.579441080663347,Low,243.42055891933666,3.4007049404734024
CoV-FISH-10_Vero_6h_Vic_INF_R1_00020__results_cell_3.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,662,100.81440671520832,611,83,18,2,2.8333333333333335,8.90720335760416,17.81440671520832,Mid,561.1855932847917,5.5665218054607095
CoV-FISH-10_Vero_6h_Vic_INF_R2_00001__results_cell_5.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R2,114,99.68050738598637,114,82,0,2,NA,8.84025369299319,17.68050738598638,Low,14.319492614013626,0.14365388970749499
CoV-FISH-10_Vero_6h_Vic_INF_R2_00005__results_cell_2.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R2,803,171.89150814719858,799,154,2,2,2,8.945754073599293,17.891508147198586,Mid,631.1084918528014,3.6715513096339483
CoV-FISH-10_Vero_6h_Vic_INF_R1_00022__results_cell_2.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,876,151.04049564599146,756,117,38,4,3.1578947368421053,8.510123911497864,34.040495645991456,Mid,724.9595043540086,4.799769103334829
CoV-FISH-10_Vero_6h_Vic_INF_R1_00005__results_cell_1.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,11161,468.7738793667242,10590,408,179,8,3.189944134078212,7.596734920840523,60.77387936672418,Mid,10692.226120633275,22.808920443855815
CoV-FISH-10_Vero_6h_Vic_INF_R1_00024__results_cell_4.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,444,106.03111266089842,400,81,16,3,2.75,8.343704220299472,25.031112660898415,Mid,337.96888733910157,3.1874501630476235
CoV-FISH-10_Vero_6h_Vic_INF_R2_00006__results_cell_3.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R2,214,97.6586896490929,210,73,2,3,2,8.219563216364305,24.658689649092913,Low,116.3413103509071,1.191305256797368
CoV-FISH-10_Vero_6h_Vic_INF_R1_00004__results_cell_2.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,3496,162.0993900293082,3390,137,36,3,2.9444444444444446,8.366463343102742,25.099390029308225,Mid,3333.9006099706917,20.567015146496907
CoV-FISH-10_Vero_6h_Vic_INF_R3_00011__results_cell_4.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,1492,218.88478025717924,1403,193,43,3,2.0697674418604652,8.628260085726412,25.884780257179237,Mid,1273.1152197428207,5.816371600834789
CoV-FISH-10_Vero_6h_Vic_INF_R1_00015__results_cell_4.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,2863,360.1855217485681,2631,282,85,9,2.7294117647058824,8.687280194285343,78.18552174856808,Mid,2502.814478251432,6.948681518627371
CoV-FISH-10_Vero_6h_Vic_INF_R3_00001__results_cell_3.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,2882,495.3141777857468,2875,459,2,4,3.5,9.07854444643669,36.31417778574676,Mid,2386.685822214253,4.818529186634021
CoV-FISH-10_Vero_6h_Vic_INF_R1_00011__results_cell_2.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,9896,600.8417807077348,9300,466,186,17,3.204301075268817,7.931869453396163,134.84178070773478,Mid,9295.158219292265,15.470226135644975
CoV-FISH-10_Vero_6h_Vic_INF_R1_00017__results_cell_2.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,460,46.98260449351096,432,38,13,1,2.1538461538461537,8.982604493510959,8.982604493510959,Low,413.01739550648904,8.790857807032245
CoV-FISH-10_Vero_6h_Vic_INF_R1_00025__results_cell_0.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,931,189.5555875482384,832,146,27,5,3.6666666666666665,8.711117509647682,43.55558754823841,Mid,741.4444124517615,3.911488033889149
CoV-FISH-10_Vero_6h_Vic_INF_R1_00028__results_cell_7.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,1563,378.71818227559754,1416,276,51,11,2.8823529411764706,9.338016570508865,102.71818227559751,Mid,1184.2818177244026,3.1270793776217145
CoV-FISH-10_Vero_6h_Vic_INF_R1_00029__results_cell_5.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,110,44.641048571810984,95,26.999999999999996,5,2,3,8.820524285905494,17.641048571810988,Low,65.35895142818902,1.4640998255910267
CoV-FISH-10_Vero_6h_Vic_INF_R2_00009__results_cell_3.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R2,3447,140.24147069913676,3350,122.00000000000001,43,2,2.255813953488372,9.12073534956837,18.24147069913674,Mid,3306.7585293008633,23.57903488045222
CoV-FISH-10_Vero_6h_Vic_INF_R2_00013__results_cell_3.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R2,222,62.72208055834327,210,53,5,1,2.4,9.72208055834327,9.72208055834327,Low,159.27791944165673,2.5394234059805854
CoV-FISH-10_Vero_6h_Vic_INF_R3_00006__results_cell_0.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,119,87.27696892723117,119,78,0,1,NA,9.276968927231167,9.276968927231167,Low,31.723031072768833,0.363475398638311
CoV-FISH-10_Vero_6h_Vic_INF_R3_00009__results_cell_1.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,296.43700868711795,296.43700868711795,296.43700868711795,267,0,3,NA,9.812336229039323,29.437008687117967,Mid,0,0
CoV-FISH-10_Vero_6h_Vic_INF_R1_00007__results_cell_0.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,6881,515.4188991218712,6508,409,124,11,3.0080645161290325,9.67444537471556,106.41889912187116,Mid,6365.581100878129,12.350305958363748
CoV-FISH-10_Vero_6h_Vic_INF_R1_00030__results_cell_0.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,500,127.35312031990992,456,100,18,3,2.4444444444444446,9.11770677330331,27.353120319909927,Mid,372.6468796800901,2.9260914749792106
CoV-FISH-10_Vero_6h_Vic_INF_R2_00007__results_cell_3.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R2,3339,268.5727639400104,2700,203,152,7,4.203947368421052,9.367537705715772,65.5727639400104,Mid,3070.42723605999,11.432384993237116
CoV-FISH-10_Vero_6h_Vic_INF_R1_00008__results_cell_4.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,544,80.18107531301962,504,50,18,3,2.2222222222222223,10.060358437673207,30.18107531301962,Low,463.8189246869804,5.784643357254484
CoV-FISH-10_Vero_6h_Vic_INF_R1_00014__results_cell_2.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,161,66.54280585172894,137,38,7,3,3.4285714285714284,9.51426861724298,28.54280585172894,Low,94.45719414827106,1.4194952097262192
CoV-FISH-10_Vero_6h_Vic_INF_R1_00015__results_cell_3.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,5880,188.9753189208235,5568,150,104,4,3,9.743829730205874,38.9753189208235,Mid,5691.024681079177,30.115174370805487
CoV-FISH-10_Vero_6h_Vic_INF_R1_00016__results_cell_0.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,574,126.16900480446807,519,89,17,4,3.235294117647059,9.292251201117017,37.16900480446807,Mid,447.83099519553195,3.5494533375258324
CoV-FISH-10_Vero_6h_Vic_INF_R3_00004__results_cell_3.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,128.76431987303792,128.76431987303792,128.76431987303792,101.00000000000001,0,3,NA,9.254773291012636,27.76431987303791,Mid,0,0
CoV-FISH-10_Vero_6h_Vic_INF_R3_00009__results_cell_0.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,1021,260.6026220292495,1010,231.00000000000003,5,3,2.2,9.8675406764165,29.6026220292495,Mid,760.3973779707505,2.9178423917983642
CoV-FISH-10_Vero_6h_Vic_INF_R1_00028__results_cell_6.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,1118,254.86275343781364,1023,187,38,7,2.5,9.694679062544804,67.86275343781362,Mid,863.1372465621864,3.3866747295139437
CoV-FISH-10_Vero_6h_Vic_INF_R1_00016__results_cell_3.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,7813,369.51049163875916,7402,286,123,9,3.341463414634146,9.278943515417684,83.51049163875915,Mid,7443.489508361241,20.144189885785828
CoV-FISH-10_Vero_6h_Vic_INF_R3_00005__results_cell_1.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,2153,705.9498962491998,2076,654,27,5,2.8518518518518516,10.389979249839973,51.94989624919987,Mid,1447.0501037508002,2.0497915099062394
CoV-FISH-10_Vero_6h_Vic_INF_R1_00003__results_cell_2.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,247,44.41347265971777,238,24.999999999999996,4,2,2.25,9.706736329858886,19.413472659717772,Low,202.58652734028223,4.561375528827418
CoV-FISH-10_Vero_6h_Vic_INF_R1_00022__results_cell_1.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,341,72.13446128089862,304,56.00000000000001,11,2,3.3636363636363638,8.067230640449306,16.134461280898613,Low,268.8655387191014,3.7272828263333495
CoV-FISH-10_Vero_6h_Vic_INF_R1_00030__results_cell_1.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,555,115.33355639050104,499,84,18,3,3.111111111111111,10.444518796833682,31.333556390501045,Mid,439.66644360949897,3.8121294215610453
CoV-FISH-10_Vero_6h_Vic_INF_R3_00008__results_cell_1.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,1126,350.7515757325127,1112,321,7,3,2,9.917191910837573,29.75157573251272,Mid,775.2484242674873,2.210249298662313
CoV-FISH-10_Vero_6h_Vic_INF_R3_00012__results_cell_4.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,3568,283.6161282969793,3522,267,20,2,2.3,8.30806414848966,16.61612829697932,Mid,3284.3838717030208,11.58038469611956
CoV-FISH-10_Vero_6h_Vic_INF_R1_00026__results_cell_1.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,14413,522.4828346331548,13389,390,368,13,2.782608695652174,10.190987279473442,132.48283463315474,Mid,13890.517165366846,26.58559524758291
CoV-FISH-10_Vero_6h_Vic_INF_R1_00025__results_cell_7.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,575,130.6677004156214,505,91,19,4,3.6842105263157894,9.91692510390535,39.6677004156214,Mid,444.3322995843786,3.4004753904068736
CoV-FISH-10_Vero_6h_Vic_INF_R1_00003__results_cell_1.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,24255,1139.4572151182692,22992,922.0000000000001,436,21,2.896788990825688,10.35510548182234,217.45721511826915,Mid,23115.54278488173,20.28645084535488
CoV-FISH-10_Vero_6h_Vic_INF_R1_00030__results_cell_2.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,2723,689.9145689381319,2367,494.99999999999994,106,19,3.358490566037736,10.258661523059576,194.91456893813194,Mid,2033.0854310618681,2.9468654853760383
CoV-FISH-10_Vero_6h_Vic_INF_R1_00005__results_cell_0.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,288,81.25286624812524,240,64,14,2,3.4285714285714284,8.626433124062624,17.252866248125247,Low,206.74713375187474,2.5444903459838875
CoV-FISH-10_Vero_6h_Vic_INF_R1_00027__results_cell_0.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,3652,327.0072697214197,3465,262,49,7,3.816326530612245,9.286752817345668,65.00726972141968,Mid,3324.9927302785804,10.167947437716508
CoV-FISH-10_Vero_6h_Vic_INF_R1_00004__results_cell_5.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,17547,944.8210252066294,16718,698,335,24,2.4746268656716417,10.28420938360956,246.82102520662946,Mid,16602.17897479337,17.57177130045611
CoV-FISH-10_Vero_6h_Vic_INF_R1_00020__results_cell_2.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,16761,784.2373062705556,15761,573,340,19,2.9411764705882355,11.117752961608186,211.23730627055554,Mid,15976.762693729444,20.372357405065337
CoV-FISH-10_Vero_6h_Vic_INF_R2_00012__results_cell_2.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R2,103.96359721193852,103.96359721193852,103.96359721193852,81,0,3,NA,7.654532403979507,22.96359721193852,Mid,0,0
CoV-FISH-10_Vero_6h_Vic_INF_R2_00007__results_cell_4.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R2,14139,767.0638330978323,13563,548,112,19,5.142857142857143,11.529675426201702,219.06383309783234,Mid,13371.936166902167,17.432625017527965
CoV-FISH-10_Vero_6h_Vic_INF_R3_00012__results_cell_2.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,5373,400.2262988824607,5310,303,15,9,4.2,10.802922098051186,97.22629888246067,Mid,4972.7737011175395,12.424904897561353
CoV-FISH-10_Vero_6h_Vic_INF_R2_00007__results_cell_7.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R2,20464,1582.3297512996046,19210,1307,389,30,3.223650385604113,9.177658376653488,275.32975129960465,Mid,18881.670248700397,11.93282893985431
CoV-FISH-10_Vero_6h_Vic_INF_R1_00002__results_cell_2.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,110,45.795126584677575,102,34,3,1,2.6666666666666665,11.795126584677575,11.795126584677575,Low,64.20487341532242,1.4020023134253001
CoV-FISH-10_Vero_6h_Vic_INF_R1_00019__results_cell_0.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,96,36.66723265921342,91,19,1,2,5,8.83361632960671,17.66723265921342,Low,59.33276734078658,1.6181414041312432
CoV-FISH-10_Vero_6h_Vic_INF_R1_00022__results_cell_3.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,104,34.32887332590622,91,23,5,1,2.6,11.32887332590622,11.32887332590622,Low,69.67112667409378,2.0295197576879573
CoV-FISH-10_Vero_6h_Vic_INF_R1_00025__results_cell_4.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,108,40.758226437584106,97,30,5,1,2.2,10.758226437584106,10.758226437584106,Low,67.24177356241589,1.649771823741837
CoV-FISH-10_Vero_6h_Vic_INF_R2_00010__results_cell_3.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R2,11783,1450.622134575241,10844,1155,384,25,2.4453125,11.824885383009637,295.6221345752409,Mid,10332.377865424758,7.1227217751300875
CoV-FISH-10_Vero_6h_Vic_INF_R3_00001__results_cell_2.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,19824,1693.5386633357284,19626,1393,79,26,2.5063291139240507,11.55917935906648,300.5386633357285,Mid,18130.461336664273,10.705667209836871
CoV-FISH-10_Vero_6h_Vic_INF_R3_00005__results_cell_3.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,1267,198.09683197102788,1172,189,29,1,3.2758620689655173,9.096831971027896,9.096831971027896,Mid,1068.9031680289722,5.395862000384246
CoV-FISH-10_Vero_6h_Vic_INF_R3_00005__results_cell_4.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,88,29.235737829483735,86,19,1,1,2,10.235737829483735,10.235737829483735,Low,58.76426217051626,2.0100146783794703
CoV-FISH-10_Vero_6h_Vic_INF_R3_00007__results_cell_1.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,26.613101911431038,26.613101911431038,26.613101911431038,14.999999999999998,0,1,NA,11.61310191143104,11.61310191143104,Low,0,0
CoV-FISH-10_Vero_6h_Vic_INF_R3_00013__results_cell_2.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R3,643,188.97703948118928,575,132,17,5,4,11.395407896237854,56.97703948118927,Mid,454.0229605188107,2.40252975581197
CoV-FISH-10_Vero_6h_Vic_INF_R1_00002__results_cell_1.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,8874,610.0893206644686,8244,470,164,14,3.841463414634146,10.006380047462043,140.0893206644686,Mid,8263.910679335531,13.545411138052755
CoV-FISH-10_Vero_6h_Vic_INF_R1_00017__results_cell_5.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,2290,378.1254391964214,2106,262,53,10,3.4716981132075473,11.612543919642137,116.12543919642137,Mid,1911.8745608035786,5.056191312773417
CoV-FISH-10_Vero_6h_Vic_INF_R1_00023__results_cell_0.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,370,104.08479344740539,334,67,14,3,2.5714285714285716,12.361597815801796,37.08479344740539,Mid,265.9152065525946,2.554794007320224
CoV-FISH-10_Vero_6h_Vic_INF_R2_00010__results_cell_2.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R2,34807,4313.395440069,32436,3407.0000000000005,748,107,3.1697860962566846,8.470985421205604,906.3954400689996,Mid,30493.604559931002,7.0695128660504185
CoV-FISH-10_Vero_6h_Vic_INF_R1_00028__results_cell_2.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,183,82.39312372634569,161,51.99999999999999,7,3,3.142857142857143,10.131041242115232,30.3931237263457,Low,100.60687627365431,1.221059133621422
CoV-FISH-10_Vero_6h_Vic_INF_R1_00030__results_cell_5.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,2611,158.03500994291392,2459,116.99999999999999,41,5,3.707317073170732,8.207001988582785,41.03500994291393,Mid,2452.964990057086,15.521655555583264
CoV-FISH-10_Vero_6h_Vic_INF_R1_00016__results_cell_2.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,2374,685.3079149473815,2073,452,92,19,3.2717391304347827,12.279363944599025,233.30791494738148,Mid,1688.6920850526185,2.4641362637439808
CoV-FISH-10_Vero_6h_Vic_INF_R1_00001__results_cell_4.npz,6hpi_Untreated_Victoria,6hpi,Victoria,Untreated,R1,172,69.20079960224918,146,45,8,2,3.25,12.100399801124588,24.200799602249177,Low,102.79920039775082,1.4855204128943276
