cell_id,time.adj,dsRNA_density,condition,repeat_exp
INF_4h_213_C4_outline_TS_detect_AUTO_350.txt_Cell_5,6,4.220776456,INF,R1
INF_4h_213_C4_outline_TS_detect_AUTO_350.txt_Cell_6,6,1.195489563,INF,R1
INF_4h_213_C4_outline_TS_detect_AUTO_350.txt_Cell_7,6,1.807956879,INF,R1
INF_4h_213_C4_outline_TS_detect_AUTO_350.txt_Cell_8,6,1.024579366,INF,R1
INF_4h_213_C4_outline_TS_detect_AUTO_350.txt_Cell_9,6,1.371576106,INF,R1
INF_4h_214_C4_outline_TS_detect_AUTO_350.txt_Cell_1,6,0.821590646,INF,R1
INF_4h_214_C4_outline_TS_detect_AUTO_350.txt_Cell_10,6,1.443546878,INF,R1
INF_4h_214_C4_outline_TS_detect_AUTO_350.txt_Cell_11,6,0.86554673,INF,R1
INF_4h_214_C4_outline_TS_detect_AUTO_350.txt_Cell_2,6,1.266049786,INF,R1
INF_4h_214_C4_outline_TS_detect_AUTO_350.txt_Cell_3,6,0.781464324,INF,R1
INF_4h_214_C4_outline_TS_detect_AUTO_350.txt_Cell_4,6,0.873846616,INF,R1
INF_4h_214_C4_outline_TS_detect_AUTO_350.txt_Cell_5,6,0.65973885,INF,R1
INF_4h_214_C4_outline_TS_detect_AUTO_350.txt_Cell_6,6,1.065723177,INF,R1
INF_4h_214_C4_outline_TS_detect_AUTO_350.txt_Cell_7,6,1.649307785,INF,R1
INF_4h_214_C4_outline_TS_detect_AUTO_350.txt_Cell_8,6,0.654216979,INF,R1
INF_4h_214_C4_outline_TS_detect_AUTO_350.txt_Cell_9,6,0.584254521,INF,R1
INF_4h_215_C4_outline_TS_detect_AUTO_350.txt_Cell_1,6,0.903404226,INF,R1
INF_4h_215_C4_outline_TS_detect_AUTO_350.txt_Cell_10,6,1.136489852,INF,R1
INF_4h_215_C4_outline_TS_detect_AUTO_350.txt_Cell_11,6,0.964033503,INF,R1
INF_4h_215_C4_outline_TS_detect_AUTO_350.txt_Cell_12,6,1.280960845,INF,R1
INF_4h_215_C4_outline_TS_detect_AUTO_350.txt_Cell_2,6,0.9075112,INF,R1
INF_4h_215_C4_outline_TS_detect_AUTO_350.txt_Cell_3,6,0.720786215,INF,R1
INF_4h_215_C4_outline_TS_detect_AUTO_350.txt_Cell_4,6,1.642784151,INF,R1
INF_4h_215_C4_outline_TS_detect_AUTO_350.txt_Cell_5,6,1.062416962,INF,R1
INF_4h_215_C4_outline_TS_detect_AUTO_350.txt_Cell_6,6,1.260333843,INF,R1
INF_4h_215_C4_outline_TS_detect_AUTO_350.txt_Cell_7,6,0.77874656,INF,R1
INF_4h_215_C4_outline_TS_detect_AUTO_350.txt_Cell_8,6,1.786976516,INF,R1
INF_4h_215_C4_outline_TS_detect_AUTO_350.txt_Cell_9,6,1.846505672,INF,R1
INF_4h_216_C4_outline_TS_detect_AUTO_350.txt_Cell_1,6,1.152686888,INF,R1
INF_4h_216_C4_outline_TS_detect_AUTO_350.txt_Cell_10,6,1.340469263,INF,R1
INF_4h_216_C4_outline_TS_detect_AUTO_350.txt_Cell_11,6,0.6832874,INF,R1
INF_4h_216_C4_outline_TS_detect_AUTO_350.txt_Cell_12,6,0.723978038,INF,R1
INF_4h_216_C4_outline_TS_detect_AUTO_350.txt_Cell_13,6,1.080208287,INF,R1
INF_4h_216_C4_outline_TS_detect_AUTO_350.txt_Cell_14,6,1.344903312,INF,R1
INF_4h_216_C4_outline_TS_detect_AUTO_350.txt_Cell_15,6,0.86703261,INF,R1
INF_4h_216_C4_outline_TS_detect_AUTO_350.txt_Cell_2,6,0.540256903,INF,R1
INF_4h_216_C4_outline_TS_detect_AUTO_350.txt_Cell_3,6,1.362260242,INF,R1
INF_4h_216_C4_outline_TS_detect_AUTO_350.txt_Cell_4,6,1.116394005,INF,R1
INF_4h_216_C4_outline_TS_detect_AUTO_350.txt_Cell_5,6,0.85831356,INF,R1
INF_4h_216_C4_outline_TS_detect_AUTO_350.txt_Cell_6,6,0.402231883,INF,R1
INF_4h_216_C4_outline_TS_detect_AUTO_350.txt_Cell_7,6,0.918590149,INF,R1
INF_4h_216_C4_outline_TS_detect_AUTO_350.txt_Cell_8,6,0.605020775,INF,R1
INF_4h_216_C4_outline_TS_detect_AUTO_350.txt_Cell_9,6,0.814440515,INF,R1
INF_4h_217_C4_outline_TS_detect_AUTO_350.txt_Cell_1,6,0.761462308,INF,R2
INF_4h_217_C4_outline_TS_detect_AUTO_350.txt_Cell_10,6,1.66153417,INF,R2
INF_4h_217_C4_outline_TS_detect_AUTO_350.txt_Cell_11,6,1.21166152,INF,R2
INF_4h_217_C4_outline_TS_detect_AUTO_350.txt_Cell_12,6,1.093898908,INF,R2
INF_4h_217_C4_outline_TS_detect_AUTO_350.txt_Cell_13,6,0.856444895,INF,R2
INF_4h_217_C4_outline_TS_detect_AUTO_350.txt_Cell_14,6,1.90914995,INF,R2
INF_4h_217_C4_outline_TS_detect_AUTO_350.txt_Cell_15,6,1.467234134,INF,R2
INF_4h_217_C4_outline_TS_detect_AUTO_350.txt_Cell_16,6,1.585717454,INF,R2
INF_4h_217_C4_outline_TS_detect_AUTO_350.txt_Cell_17,6,1.71408402,INF,R2
INF_4h_217_C4_outline_TS_detect_AUTO_350.txt_Cell_2,6,0.882357404,INF,R2
INF_4h_217_C4_outline_TS_detect_AUTO_350.txt_Cell_3,6,0.73028929,INF,R2
INF_4h_217_C4_outline_TS_detect_AUTO_350.txt_Cell_4,6,1.70679857,INF,R2
INF_4h_217_C4_outline_TS_detect_AUTO_350.txt_Cell_5,6,1.392214463,INF,R2
INF_4h_217_C4_outline_TS_detect_AUTO_350.txt_Cell_6,6,1.373818119,INF,R2
INF_4h_217_C4_outline_TS_detect_AUTO_350.txt_Cell_7,6,0.879590568,INF,R2
INF_4h_217_C4_outline_TS_detect_AUTO_350.txt_Cell_8,6,0.536149597,INF,R2
INF_4h_217_C4_outline_TS_detect_AUTO_350.txt_Cell_9,6,1.539137825,INF,R2
INF_4h_218_C4_outline_TS_detect_AUTO_350.txt_Cell_1,6,3.411505301,INF,R2
INF_4h_218_C4_outline_TS_detect_AUTO_350.txt_Cell_10,6,0.681076809,INF,R2
INF_4h_218_C4_outline_TS_detect_AUTO_350.txt_Cell_11,6,0.435513967,INF,R2
INF_4h_218_C4_outline_TS_detect_AUTO_350.txt_Cell_12,6,1.361201126,INF,R2
INF_4h_218_C4_outline_TS_detect_AUTO_350.txt_Cell_2,6,0.745294984,INF,R2
INF_4h_218_C4_outline_TS_detect_AUTO_350.txt_Cell_3,6,1.143627732,INF,R2
INF_4h_218_C4_outline_TS_detect_AUTO_350.txt_Cell_4,6,0.762573993,INF,R2
INF_4h_218_C4_outline_TS_detect_AUTO_350.txt_Cell_5,6,0.570301682,INF,R2
INF_4h_218_C4_outline_TS_detect_AUTO_350.txt_Cell_6,6,0.931002456,INF,R2
INF_4h_218_C4_outline_TS_detect_AUTO_350.txt_Cell_7,6,1.301494096,INF,R2
INF_4h_218_C4_outline_TS_detect_AUTO_350.txt_Cell_8,6,1.112468635,INF,R2
