cell_id,condition,total_count,time.adj,repeat_exp
4h_6_outline_TS_detect_AUTO_225.txt_Cell_11,INF,32.14052,6,R1
4h_6_outline_TS_detect_AUTO_225.txt_Cell_3,INF,185.312176,6,R1
4h_6_outline_TS_detect_AUTO_225.txt_Cell_4,INF,34.38472,6,R1
4h_6_outline_TS_detect_AUTO_225.txt_Cell_5,INF,103.951922,6,R1
4h_6_outline_TS_detect_AUTO_225.txt_Cell_6,INF,152.110904,6,R1
4h_6_outline_TS_detect_AUTO_225.txt_Cell_7,INF,117.909312,6,R1
4h_6_outline_TS_detect_AUTO_225.txt_Cell_8,INF,107.817268,6,R1
4h_6_outline_TS_detect_AUTO_225.txt_Cell_9,INF,71.470238,6,R1
4h_7_outline_TS_detect_AUTO_225.txt_Cell_1,INF,287.905864,6,R1
4h_7_outline_TS_detect_AUTO_225.txt_Cell_2,INF,118.607608,6,R1
4h_7_outline_TS_detect_AUTO_225.txt_Cell_3,INF,87.160864,6,R1
4h_7_outline_TS_detect_AUTO_225.txt_Cell_4,INF,49.08802,6,R1
4h_7_outline_TS_detect_AUTO_225.txt_Cell_5,INF,29.460598,6,R1
4h_7_outline_TS_detect_AUTO_225.txt_Cell_6,INF,16.077102,6,R1
4h_7_outline_TS_detect_AUTO_225.txt_Cell_7,INF,31.579752,6,R1
4h_8_outline_TS_detect_AUTO_225.txt_Cell_1,INF,178.894212,6,R1
4h_8_outline_TS_detect_AUTO_225.txt_Cell_2,INF,1927.112394,6,R1
4h_8_outline_TS_detect_AUTO_225.txt_Cell_3,INF,37.087226,6,R1
4h_8_outline_TS_detect_AUTO_225.txt_Cell_4,INF,70.2,6,R1
4h_8_outline_TS_detect_AUTO_225.txt_Cell_5,INF,32.88255,6,R1
4h_8_outline_TS_detect_AUTO_225.txt_Cell_6,INF,32.832774,6,R1
4h_8_outline_TS_detect_AUTO_225.txt_Cell_7,INF,34.74743,6,R1
4h_9_outline_TS_detect_AUTO_225.txt_Cell_1,INF,229.34899,6,R1
4h_9_outline_TS_detect_AUTO_225.txt_Cell_2,INF,134.872544,6,R1
4h_9_outline_TS_detect_AUTO_225.txt_Cell_3,INF,14.3,6,R1
4h_9_outline_TS_detect_AUTO_225.txt_Cell_4,INF,20.8,6,R1
INF_0h_201_C4_outline_TS_detect_AUTO_350.txt_Cell_1,INF,42.365785,2,R3
