cell_id,total_count,condition,time.adj
INF_6h_192_C4_outline_TS_detect_AUTO_350.txt_Cell_7,58.95219,INF,8
INF_6h_199_C4_outline_TS_detect_AUTO_350.txt_Cell_13,71.29477,INF,8
INF_6h_200_C4_outline_TS_detect_AUTO_350.txt_Cell_3,108.90635,INF,8
MOCK_6h_Cell_36,0,MOCK,8
INF_6h_194_C4_outline_TS_detect_AUTO_350.txt_Cell_13,107.12565,INF,8
INF_6h_198_C4_outline_TS_detect_AUTO_350.txt_Cell_9,79.38989,INF,8
INF_6h_197_C4_outline_TS_detect_AUTO_350.txt_Cell_12,138.13806,INF,8
INF_6h_194_C4_outline_TS_detect_AUTO_350.txt_Cell_1,133.65027,INF,8
INF_6h_196_C4_outline_TS_detect_AUTO_350.txt_Cell_2,128.11216,INF,8
INF_6h_196_C4_outline_TS_detect_AUTO_350.txt_Cell_9,65.45203,INF,8
INF_6h_193_C4_outline_TS_detect_AUTO_350.txt_Cell_9,149.44011,INF,8
MOCK_6h_Cell_42,0,MOCK,8
MOCK_6h_Cell_62,0,MOCK,8
MOCK_6h_Cell_03,0,MOCK,8
MOCK_6h_Cell_50,0,MOCK,8
INF_6h_195_C4_outline_TS_detect_AUTO_350.txt_Cell_2,65.68918,INF,8
MOCK_6h_Cell_28,0,MOCK,8
INF_6h_200_C4_outline_TS_detect_AUTO_350.txt_Cell_4,100.94098,INF,8
MOCK_6h_Cell_20,0,MOCK,8
INF_6h_193_C4_outline_TS_detect_AUTO_350.txt_Cell_3,196.96699,INF,8
INF_6h_193_C4_outline_TS_detect_AUTO_350.txt_Cell_2,168.80416,INF,8
MOCK_6h_Cell_58,0,MOCK,8
MOCK_6h_Cell_46,0,MOCK,8
INF_6h_194_C4_outline_TS_detect_AUTO_350.txt_Cell_6,80.21233,INF,8
INF_6h_194_C4_outline_TS_detect_AUTO_350.txt_Cell_5,76.36272,INF,8
INF_6h_190_C4_outline_TS_detect_AUTO_350.txt_Cell_12,77.58746,INF,8
INF_6h_199_C4_outline_TS_detect_AUTO_350.txt_Cell_12,51.9405,INF,8
INF_6h_194_C4_outline_TS_detect_AUTO_350.txt_Cell_2,44.73921,INF,8
INF_6h_199_C4_outline_TS_detect_AUTO_350.txt_Cell_1,49.37635,INF,8
MOCK_6h_Cell_13,0,MOCK,8
INF_6h_191_C4_outline_TS_detect_AUTO_350.txt_Cell_1,84.72809,INF,8
MOCK_6h_Cell_22,0,MOCK,8
INF_6h_195_C4_outline_TS_detect_AUTO_350.txt_Cell_9,102.59025,INF,8
INF_6h_193_C4_outline_TS_detect_AUTO_350.txt_Cell_12,117.59481,INF,8
INF_6h_194_C4_outline_TS_detect_AUTO_350.txt_Cell_7,157.66965,INF,8
MOCK_6h_Cell_68,0,MOCK,8
MOCK_6h_Cell_01,0,MOCK,8
MOCK_6h_Cell_26,0,MOCK,8
MOCK_6h_Cell_31,0,MOCK,8
MOCK_6h_Cell_44,0,MOCK,8
MOCK_6h_Cell_56,0,MOCK,8
INF_6h_195_C4_outline_TS_detect_AUTO_350.txt_Cell_6,35.29663,INF,8
MOCK_6h_Cell_41,0,MOCK,8
INF_6h_194_C4_outline_TS_detect_AUTO_350.txt_Cell_4,73.53787,INF,8
INF_6h_198_C4_outline_TS_detect_AUTO_350.txt_Cell_5,173.65374,INF,8
MOCK_6h_Cell_54,0,MOCK,8
MOCK_6h_Cell_73,0,MOCK,8
MOCK_6h_Cell_27,0,MOCK,8
MOCK_6h_Cell_33,0,MOCK,8
INF_6h_199_C4_outline_TS_detect_AUTO_350.txt_Cell_7,110.29642,INF,8
INF_6h_198_C4_outline_TS_detect_AUTO_350.txt_Cell_12,71.224,INF,8
MOCK_6h_Cell_43,0,MOCK,8
INF_6h_198_C4_outline_TS_detect_AUTO_350.txt_Cell_2,211.32931,INF,8
INF_6h_198_C4_outline_TS_detect_AUTO_350.txt_Cell_4,125.20055,INF,8
INF_6h_198_C4_outline_TS_detect_AUTO_350.txt_Cell_3,203.53044,INF,8
INF_6h_198_C4_outline_TS_detect_AUTO_350.txt_Cell_1,200.74199,INF,8
INF_6h_199_C4_outline_TS_detect_AUTO_350.txt_Cell_8,27.33233,INF,8
MOCK_6h_Cell_10,0,MOCK,8
MOCK_6h_Cell_30,0,MOCK,8
INF_6h_192_C4_outline_TS_detect_AUTO_350.txt_Cell_12,33.04522,INF,8
MOCK_6h_Cell_04,0,MOCK,8
MOCK_6h_Cell_07,0,MOCK,8
MOCK_6h_Cell_19,0,MOCK,8
INF_6h_192_C4_outline_TS_detect_AUTO_350.txt_Cell_2,79.6803,INF,8
MOCK_6h_Cell_16,0,MOCK,8
INF_6h_196_C4_outline_TS_detect_AUTO_350.txt_Cell_8,104.20797,INF,8
MOCK_6h_Cell_38,0,MOCK,8
INF_6h_192_C4_outline_TS_detect_AUTO_350.txt_Cell_3,44.01307,INF,8
INF_6h_192_C4_outline_TS_detect_AUTO_350.txt_Cell_1,82.91597,INF,8
MOCK_6h_Cell_64,0,MOCK,8
INF_6h_198_C4_outline_TS_detect_AUTO_350.txt_Cell_10,43.2045,INF,8
INF_6h_199_C4_outline_TS_detect_AUTO_350.txt_Cell_9,24.25853,INF,8
MOCK_6h_Cell_23,0,MOCK,8
MOCK_6h_Cell_48,0,MOCK,8
MOCK_6h_Cell_72,0,MOCK,8
MOCK_6h_Cell_47,0,MOCK,8
INF_6h_192_C4_outline_TS_detect_AUTO_350.txt_Cell_9,83.937970000000007,INF,8
MOCK_6h_Cell_65,0,MOCK,8
MOCK_6h_Cell_71,0,MOCK,8
MOCK_6h_Cell_67,0,MOCK,8
INF_6h_192_C4_outline_TS_detect_AUTO_350.txt_Cell_5,21.13946,INF,8
